code_insee_com,nom_com,typologie_territoire,alti_med,latitude,longitude,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med
1001,Abergement-Clémenciat,Rural à habitat dispersé,243,46.153,4.926,66.0,10.0,4.0,2.0,7.05,17.1,10.35,2.6,3059.0,12079.0
1002,Abergement-de-Varey,Rural à habitat dispersé,296,46.009,5.428,104.8,10.0,6.0,4.0,6.6,17.6,10.75,1.1,2934.0,11543.5
1004,Ambérieu-en-Bugey,Centres urbains intermédiaires,250,45.961,5.373,86.85,10.0,5.0,3.0,6.3,16.6,10.15,2.5,2934.0,11543.5
1005,Ambérieux-en-Dombes,Bourgs ruraux,291,45.996,4.912,63.8,9.0,4.0,2.0,7.05,17.1,10.4,1.8,2314.0,NA
1006,Ambléon,Rural à habitat dispersé,277,45.75,5.594,89.8,9.0,5.0,3.0,7.3,17.5,10.3,1.8,3314.0,13004.0
1007,Ambronay,Rural à habitat dispersé,250,46.006,5.358,86.85,10.0,5.0,3.0,6.3,16.6,10.15,2.5,2934.0,11543.5
1008,Ambutrix,Ceintures urbaines,250,45.937,5.333,86.85,10.0,5.0,3.0,6.3,16.6,10.15,2.5,2934.0,11543.5
1009,Andert-et-Condon,Rural à habitat dispersé,277,45.787,5.658,89.8,9.0,5.0,3.0,7.3,17.5,10.3,1.8,3314.0,13004.0
1010,Anglefort,Bourgs ruraux,285,45.909,5.795,95.0,10.0,5.0,3.0,6.8,16.1,9.9,2.1,3314.0,13004.0
1011,Apremont,Rural à habitat dispersé,535,46.206,5.658,115.5,12.0,7.0,4.0,4.1,15.0,11.5,1.2,2290.5,9134.5
1012,Aranc,Rural à habitat dispersé,296,46.002,5.511,104.8,10.0,6.0,4.0,6.6,17.6,10.75,1.1,3314.0,13004.0
1013,Arandas,Rural à habitat très dispersé,944,45.891,5.499,131.6,11.0,7.0,5.0,6.6,17.6,10.75,1.1,3314.0,13004.0
1014,Arbent,Ceintures urbaines,535,46.284,5.691,114.45,11.0,7.0,4.0,4.15,16.95,9.5,1.6,2290.5,9134.5
1015,Arboys en Bugey,Rural à habitat dispersé,277,45.724,5.653,89.8,9.0,5.0,3.0,7.3,17.5,10.3,1.8,3314.0,13004.0
1016,Arbigny,Rural à habitat dispersé,208,46.478,4.96,58.5,7.0,4.0,2.0,7.4,16.9,10.4,2.6,3059.0,12079.0
1017,Argis,Rural à habitat dispersé,296,45.934,5.482,104.8,10.0,6.0,4.0,6.6,17.6,10.75,1.1,3314.0,13004.0
1019,Armix,Rural à habitat très dispersé,284,45.854,5.584,101.95,10.0,6.0,3.0,4.7,14.2,8.75,2.4,3314.0,13004.0
1021,Ars-sur-Formans,Bourgs ruraux,291,45.994,4.822,63.8,9.0,4.0,2.0,9.0,19.3,10.4,1.8,2314.0,NA
1022,Artemare,Bourgs ruraux,603,45.87,5.691,105.7,10.0,6.0,4.0,4.7,14.2,8.75,2.4,3314.0,13004.0
1023,Asnières-sur-Saône,Rural à habitat dispersé,200,46.386,4.884,71.3,9.0,4.0,2.0,7.4,16.9,10.4,2.6,3059.0,12079.0
1024,Attignat,Bourgs ruraux,201,46.286,5.18,69.5,11.0,4.0,2.0,5.9,16.3,11.2,0.8,2322.0,9348.0
1025,Bâgé-Dommartin,Rural à habitat dispersé,200,46.323,4.953,71.3,9.0,4.0,2.0,7.0,16.3,10.1,2.6,3059.0,12079.0
1026,Bâgé-le-Châtel,Bourgs ruraux,200,46.308,4.929,71.3,9.0,4.0,2.0,7.0,16.3,10.1,2.6,3059.0,12079.0
1027,Balan,Bourgs ruraux,182,45.831,5.108,73.1,9.5,4.0,2.5,6.8,18.0,10.4,3.2,2946.0,11810.0
1028,Baneins,Rural à habitat dispersé,243,46.114,4.902,66.0,10.0,4.0,2.0,7.1,16.4,10.35,1.8,3059.0,12079.0
1029,Beaupont,Rural à habitat dispersé,210,46.429,5.26,86.85,10.0,5.0,3.0,7.8,17.35,10.7,2.1,3121.5,11329.0
1030,Beauregard,Ceintures urbaines,190,46.001,4.756,50.5,8.0,3.0,1.0,9.0,19.3,10.4,1.8,2314.0,NA
1031,Bellignat,Centres urbains intermédiaires,535,46.237,5.636,115.5,12.0,7.0,4.0,4.8,15.2,10.6,1.2,2290.5,9134.5
1032,Béligneux,Bourgs ruraux,182,45.859,5.14,73.1,9.5,4.0,2.5,6.8,18.0,10.4,3.2,2946.0,11810.0
1033,Valserhône,Centres urbains intermédiaires,350,46.107,5.832,90.35,10.0,5.0,3.0,5.5,17.1,9.8,1.1,3166.5,12409.5
1034,Belley,Petites villes,277,45.75,5.684,89.8,9.0,5.0,3.0,7.3,17.5,10.3,1.8,3314.0,13004.0
1035,Belleydoux,Rural à habitat dispersé,1133,46.253,5.785,124.3,12.0,7.0,4.0,5.0,12.2,7.8,2.6,3173.0,12220.0
1036,Valromey-sur-Séran,Rural à habitat dispersé,878,45.885,5.651,105.7,10.0,6.0,4.0,4.7,14.2,8.75,2.4,3314.0,13004.0
1037,Bénonces,Rural à habitat dispersé,944,45.838,5.483,131.6,11.0,7.0,5.0,7.9,17.7,10.75,1.1,3314.0,13004.0
1038,Bény,Rural à habitat dispersé,243,46.319,5.282,84.15,11.0,5.0,3.0,7.0,16.8,10.6,1.7,3121.5,11329.0
1040,Béréziat,Rural à habitat dispersé,208,46.367,5.04,58.5,7.0,4.0,2.0,7.4,17.8,11.2,0.8,2322.0,9348.0
1041,Bettant,Ceintures urbaines,200,45.937,5.367,82.0,8.0,5.0,3.0,6.3,16.6,10.15,2.5,2934.0,11543.5
1042,Bey,Rural à habitat dispersé,219,46.219,4.846,62.3,9.0,4.0,2.0,7.0,16.3,10.1,2.6,3059.0,12079.0
1043,Beynost,Centres urbains intermédiaires,182,45.839,4.997,73.1,9.5,4.0,2.5,6.8,18.0,10.4,3.1,3216.0,12299.0
1044,Billiat,Rural à habitat dispersé,350,46.079,5.766,90.35,10.0,5.0,3.0,5.5,17.1,9.8,1.1,3166.5,12409.5
1045,Birieux,Rural à habitat dispersé,280,45.953,5.037,65.3,9.0,4.0,2.0,7.05,17.1,10.4,3.2,2946.0,11810.0
1046,Biziat,Rural à habitat dispersé,200,46.227,4.941,71.3,9.0,4.0,2.0,7.0,16.3,10.1,2.6,3059.0,12079.0
1047,Blyes,Rural à habitat dispersé,200,45.847,5.252,82.0,8.0,5.0,3.0,6.8,18.0,10.4,2.5,2934.0,11543.5
