code_insee_com,typologie_territoire,alti_med,latitude,longitude,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Insolation_med,Rayonnement_med,Force_vent_med,Tens_vap_med
1001,Rural à habitat dispersé,243,46.153,4.926,66.0,10.0,4.0,2.0,7.05,17.1,3059.0,12079.0,2.6,10.35
1002,Rural à habitat dispersé,296,46.009,5.428,104.8,10.0,6.0,4.0,6.6,17.6,2934.0,11543.5,1.1,10.75
1004,Centres urbains intermédiaires,250,45.961,5.373,86.85,10.0,5.0,3.0,6.3,16.6,2934.0,11543.5,2.5,10.15
1005,Bourgs ruraux,291,45.996,4.912,63.8,9.0,4.0,2.0,7.05,17.1,2314.0,NA,1.8,10.4
1006,Rural à habitat dispersé,277,45.75,5.594,89.8,9.0,5.0,3.0,7.3,17.5,3314.0,13004.0,1.8,10.3
1007,Rural à habitat dispersé,250,46.006,5.358,86.85,10.0,5.0,3.0,6.3,16.6,2934.0,11543.5,2.5,10.15
1008,Ceintures urbaines,250,45.937,5.333,86.85,10.0,5.0,3.0,6.3,16.6,2934.0,11543.5,2.5,10.15
1009,Rural à habitat dispersé,277,45.787,5.658,89.8,9.0,5.0,3.0,7.3,17.5,3314.0,13004.0,1.8,10.3
1010,Bourgs ruraux,285,45.909,5.795,95.0,10.0,5.0,3.0,6.8,16.1,3314.0,13004.0,2.1,9.9
1011,Rural à habitat dispersé,535,46.206,5.658,115.5,12.0,7.0,4.0,4.1,15.0,2290.5,9134.5,1.2,11.5
1012,Rural à habitat dispersé,296,46.002,5.511,104.8,10.0,6.0,4.0,6.6,17.6,3314.0,13004.0,1.1,10.75
1013,Rural à habitat très dispersé,944,45.891,5.499,131.6,11.0,7.0,5.0,6.6,17.6,3314.0,13004.0,1.1,10.75
1014,Ceintures urbaines,535,46.284,5.691,114.45,11.0,7.0,4.0,4.15,16.95,2290.5,9134.5,1.6,9.5
1015,Rural à habitat dispersé,277,45.724,5.653,89.8,9.0,5.0,3.0,7.3,17.5,3314.0,13004.0,1.8,10.3
1016,Rural à habitat dispersé,208,46.478,4.96,58.5,7.0,4.0,2.0,7.4,16.9,3059.0,12079.0,2.6,10.4
1017,Rural à habitat dispersé,296,45.934,5.482,104.8,10.0,6.0,4.0,6.6,17.6,3314.0,13004.0,1.1,10.75
1019,Rural à habitat très dispersé,284,45.854,5.584,101.95,10.0,6.0,3.0,4.7,14.2,3314.0,13004.0,2.4,8.75
1021,Bourgs ruraux,291,45.994,4.822,63.8,9.0,4.0,2.0,9.0,19.3,2314.0,NA,1.8,10.4
1022,Bourgs ruraux,603,45.87,5.691,105.7,10.0,6.0,4.0,4.7,14.2,3314.0,13004.0,2.4,8.75
1023,Rural à habitat dispersé,200,46.386,4.884,71.3,9.0,4.0,2.0,7.4,16.9,3059.0,12079.0,2.6,10.4
1024,Bourgs ruraux,201,46.286,5.18,69.5,11.0,4.0,2.0,5.9,16.3,2322.0,9348.0,0.8,11.2
1025,Rural à habitat dispersé,200,46.323,4.953,71.3,9.0,4.0,2.0,7.0,16.3,3059.0,12079.0,2.6,10.1
1026,Bourgs ruraux,200,46.308,4.929,71.3,9.0,4.0,2.0,7.0,16.3,3059.0,12079.0,2.6,10.1
1027,Bourgs ruraux,182,45.831,5.108,73.1,9.5,4.0,2.5,6.8,18.0,2946.0,11810.0,3.2,10.4
1028,Rural à habitat dispersé,243,46.114,4.902,66.0,10.0,4.0,2.0,7.1,16.4,3059.0,12079.0,1.8,10.35
1029,Rural à habitat dispersé,210,46.429,5.26,86.85,10.0,5.0,3.0,7.8,17.35,3121.5,11329.0,2.1,10.7
1030,Ceintures urbaines,190,46.001,4.756,50.5,8.0,3.0,1.0,9.0,19.3,2314.0,NA,1.8,10.4
1031,Centres urbains intermédiaires,535,46.237,5.636,115.5,12.0,7.0,4.0,4.8,15.2,2290.5,9134.5,1.2,10.6
1032,Bourgs ruraux,182,45.859,5.14,73.1,9.5,4.0,2.5,6.8,18.0,2946.0,11810.0,3.2,10.4
1033,Centres urbains intermédiaires,350,46.107,5.832,90.35,10.0,5.0,3.0,5.5,17.1,3166.5,12409.5,1.1,9.8
1034,Petites villes,277,45.75,5.684,89.8,9.0,5.0,3.0,7.3,17.5,3314.0,13004.0,1.8,10.3
1035,Rural à habitat dispersé,1133,46.253,5.785,124.3,12.0,7.0,4.0,5.0,12.2,3173.0,12220.0,2.6,7.8
1036,Rural à habitat dispersé,878,45.885,5.651,105.7,10.0,6.0,4.0,4.7,14.2,3314.0,13004.0,2.4,8.75
1037,Rural à habitat dispersé,944,45.838,5.483,131.6,11.0,7.0,5.0,7.9,17.7,3314.0,13004.0,1.1,10.75
1038,Rural à habitat dispersé,243,46.319,5.282,84.15,11.0,5.0,3.0,7.0,16.8,3121.5,11329.0,1.7,10.6
1040,Rural à habitat dispersé,208,46.367,5.04,58.5,7.0,4.0,2.0,7.4,17.8,2322.0,9348.0,0.8,11.2
1041,Ceintures urbaines,200,45.937,5.367,82.0,8.0,5.0,3.0,6.3,16.6,2934.0,11543.5,2.5,10.15
1042,Rural à habitat dispersé,219,46.219,4.846,62.3,9.0,4.0,2.0,7.0,16.3,3059.0,12079.0,2.6,10.1
1043,Centres urbains intermédiaires,182,45.839,4.997,73.1,9.5,4.0,2.5,6.8,18.0,3216.0,12299.0,3.1,10.4
1044,Rural à habitat dispersé,350,46.079,5.766,90.35,10.0,5.0,3.0,5.5,17.1,3166.5,12409.5,1.1,9.8
1045,Rural à habitat dispersé,280,45.953,5.037,65.3,9.0,4.0,2.0,7.05,17.1,2946.0,11810.0,3.2,10.4
1046,Rural à habitat dispersé,200,46.227,4.941,71.3,9.0,4.0,2.0,7.0,16.3,3059.0,12079.0,2.6,10.1
1047,Rural à habitat dispersé,200,45.847,5.252,82.0,8.0,5.0,3.0,6.8,18.0,2934.0,11543.5,2.5,10.4
1049,Ceintures urbaines,182,45.845,5.028,73.1,9.5,4.0,2.5,6.8,18.0,2946.0,11810.0,3.2,10.4
1050,Rural à habitat dispersé,200,46.373,4.999,71.3,9.0,4.0,2.0,7.4,17.8,2322.0,9348.0,0.8,11.2
1051,Rural à habitat très dispersé,450,46.196,5.471,116.0,11.0,7.0,4.0,6.1,15.6,3121.5,11329.0,1.7,9.3
1052,Rural à habitat très dispersé,280,46.023,4.992,65.3,9.0,4.0,2.0,7.05,17.1,2322.0,9348.0,0.8,10.4
1053,Centres urbains intermédiaires,240,46.205,5.246,80.7,10.0,5.0,3.0,7.0,16.8,2322.0,9348.0,1.7,10.6
1054,Bourgs ruraux,182,45.886,5.144,73.1,9.5,4.0,2.5,6.8,18.0,2946.0,11810.0,3.2,10.4
1056,Rural à habitat dispersé,315,46.036,5.463,107.2,10.0,6.0,4.0,6.1,15.6,2934.0,11543.5,1.1,9.3
1057,Rural à habitat dispersé,200,46.405,4.914,71.3,9.0,4.0,2.0,7.4,16.9,3059.0,12079.0,2.6,10.4
1058,Rural à habitat dispersé,242,45.642,5.616,77.45,7.0,4.0,2.5,8.65,18.45,2483.0,11696.0,1.8,10.3
1060,Rural à habitat dispersé,615,46.076,5.614,123.1,11.0,7.0,4.0,9.4,21.4,3314.0,13004.0,2.4,11.5
